ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,is_fraud,merchant,merch_lat,merch_long
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,e5ddd7dd0f22b3c01a067c8948e45c1d,2012-01-03,03:10:04,1325560204,gas_transport,9.33,1,"fraud_Schaefer, Maggio and Daugherty",39.394026,-107.088705
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,6936d7b992a0db7367a0d177987fd5ab,2012-01-02,03:50:11,1325476211,shopping_net,861.55,1,"fraud_Streich, Dietrich and Barton",37.665712,-106.032427
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,ee0a9fb5d1d1a89b78f98d288ef8398e,2012-01-03,14:08:18,1325599698,home,245.89,1,fraud_Collier LLC,38.746475,-106.814559
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,6eef6fee8dc04997ffe54f5dc8968ed4,2012-01-03,02:56:07,1325559367,gas_transport,10.78,1,fraud_Cummerata-Jones,37.958841,-106.117643
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,cffd568d009d37d67cae3bb187bedcdd,2012-01-03,23:21:30,1325632890,personal_care,22.41,1,fraud_Reichel LLC,38.346415,-106.113200
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,09c0cff711a0e09231c30206814f95a4,2012-01-03,00:02:44,1325548964,grocery_pos,367.52,1,fraud_Kutch and Sons,37.941315,-106.061175
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,15289ef87442ee1de72f47857c9a3f94,2012-01-03,01:25:17,1325553917,misc_net,777.60,1,"fraud_Greenfelder, Bartoletti and Davis",39.088209,-107.198058
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,db4d03ad5d33bab82442d7e749b5f88f,2012-01-02,02:07:12,1325470032,shopping_net,919.48,1,"fraud_Schmeler, Bashirian and Price",39.517596,-105.513713
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,e0917e278c469747a1ba66e6bca927cc,2012-01-02,23:49:01,1325548141,entertainment,451.08,1,fraud_Klein Group,37.861784,-106.890083
484-37-5978,180047700031746,Andrea,Simpson,F,409 Maria View Apt. 112,Monarch,CO,81227,38.5458,-106.2434,10,"Teacher, special educational needs",1979-04-09,279289428920,adults_2550_female_rural.json,ef2dee4eee4f27aa5b778c1c7e3d4cdd,2012-01-03,23:19:16,1325632756,kids_pets,21.24,1,fraud_Barton LLC,38.271552,-106.047608
